anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2019,7,7,45,7,5259
2023,7,2,43,6,7585
2010,5,12,184,10,0
2017,4,1,16,5,40971
2023,3,9,140,2,18293
2011,3,12,110,10,0
2013,4,2,32,12,31772
2019,7,11,173,12,6543
2024,6,12,192,3,5752
2017,4,11,84,2,13124
2015,5,10,155,8,22315
2020,6,4,74,7,1658
2021,7,7,102,11,3172
2015,5,1,6,5,15460
2012,2,1,8,11,30970
2015,1,2,38,12,30173
2020,2,4,76,4,2349
2010,4,8,116,4,8189
2022,5,9,137,2,35784
2010,7,2,45,9,22256
2010,1,1,15,12,32773
2018,7,10,150,5,9241
2019,4,5,84,1,9878
2021,4,8,126,12,14192
2011,5,1,5,5,43114
2024,1,8,116,1,8984
2011,3,11,177,8,8399
2013,4,7,45,5,5928
2015,6,12,180,9,24516
2021,2,11,165,9,14341
2024,4,1,9,2,0
2012,6,6,92,6,11039
2016,1,5,79,7,7038
2015,4,2,38,3,33159
2014,7,2,22,5,5485
2017,2,6,100,9,7478
2020,7,1,5,8,14446
2020,5,2,34,12,977
2016,2,12,189,4,19309
2012,7,2,27,2,13967
2015,6,2,37,4,8399
2016,2,7,93,12,41907
2013,5,8,123,9,14779
2016,6,3,49,5,24482
2023,4,1,11,1,0
2022,7,12,180,4,0
2011,4,5,11,1,48374
2023,4,4,71,3,6924
2020,7,8,124,5,3918
2014,4,3,47,8,34373
2011,2,12,110,12,0
2010,7,10,154,9,6275
2023,7,7,109,12,3200
2022,3,1,18,1,6332
2012,1,1,9,6,77831
2011,7,2,45,8,30031
2024,5,7,105,2,40591
2019,6,12,191,1,45213
2017,3,4,69,9,0
2017,1,7,102,3,6260
2020,2,11,177,9,3999
2010,5,8,119,11,7541
2015,6,3,52,4,7606
2021,5,2,23,8,12081
2020,3,6,97,4,0
2016,1,11,20,2,16088
2013,3,1,11,9,54867
2015,4,5,82,2,8051
2013,5,5,61,7,10829
2022,4,2,31,3,17874
2019,1,2,26,7,37064
2015,7,4,69,7,3862
2022,5,3,65,11,19697
2015,1,8,133,6,26921
2015,1,11,73,8,4303
2015,3,5,86,12,16292
2013,1,6,75,1,33638
2021,4,8,127,11,9349
2014,4,2,30,1,17529
2020,5,2,43,7,8042
2011,2,5,82,6,8328
2020,4,4,68,12,3610
2019,2,1,5,9,33439
2021,2,11,166,10,12155
2012,4,4,73,1,8715
2024,1,3,64,4,21548
2010,1,10,156,10,21969
2010,1,1,7,11,21793
2010,3,3,60,10,31157
2014,3,10,150,2,21314
2018,6,8,130,6,20559
2020,3,9,11,6,25306
2011,7,11,158,2,22639
2012,4,12,198,10,0
2022,7,6,53,6,520
2018,3,9,8,8,45029
2020,4,3,67,5,6651
2020,3,8,124,8,9762
2019,4,3,50,5,121062
2022,1,12,110,1,0
2011,1,2,34,5,27846
2019,7,6,99,1,3118
2014,6,12,129,5,38665
2016,2,8,70,12,5022
2023,3,3,50,9,98574
2012,4,3,67,12,20788
2011,6,8,124,8,22883
2020,5,12,187,9,16223
2024,1,12,190,6,29277
2015,3,12,182,10,0
2012,4,2,38,2,36493
